Species	Index	Locality		Age.min	Age.max
Teratichthys antiquitatis (13299)	C024	United Kingdom (England)	Ypresian	47.8	56
Vomeropsis triurus, Ceratoichthys pinnatiformis, Eastmanalepes primaevus, Lichia veronensis, Trachicaranx pleuronectiformis, Seriola prisca (94830)	C025	Italy	Ypresian	47.8	56
Archaeus oblongus (186444)	C027	Turkmenistan	Ypresian	47.8	56
Trachurus sp. (219011)	C049	Belgium	Ypresian	47.8	56
Archaeus glarisianus (105572)	C026	Russian Federation (Adygeia)	Early/Lower Oligocene	27.82	33.9
Belgocaranx luypaertsi (207745)	C029	Belgium	Rupelian	27.82	33.9
Carangidae indet. (186589)	C044	Poland	Rupelian	27.82	33.9
Caranx femeri, Caranx baltruschi (187654)	C031	Indonesia (Maros)	Early/Lower Miocene	15.97	23.03
Carangidae indet. (52183)	C032	Mexico (Baja California)	Langhian	13.82	15.97
Caranx sp. (13450)	C033	Mexico (Baja California Sur)	Langhian - Serravallian	11.62	15.97
Caranx gracilis (60254)	C034	Ukraine (Crimea)	Serravallian	11.62	13.82
Carangidae indet. (84331)	C035	USA (California)	Clarendonian	10.3	13.6
Trachurus sp. (207356)	C053	Greece (Crete)	Tortonian	7.246	11.62
Oligoplites spinosus (186461)	C030	Russian Federation	Oligocene - Miocene	5.333	33.9
Caranx scillae, Caranx albyi (185692) Lichia amia (210239) Trachurus sp. (186576 210240) Trachurus trachurus (186575)	C036	Italy	Messinian	5.333	7.246
Caranx prorusselli, Seriola dallonii (186631) Trachurus trachurus (186582 186585)	C037	Algeria	Messinian	5.333	7.246
Decapterus agilis (152598 182934 185673)	C046	USA (California)	Late/Upper Miocene	5.333	11.608
Trachurus sp. (210671)	C054	Spain	Messinian	5.333	7.246
Trachurus sp. (210628) Trachurus trachurus (186581)	C055	Italy (Tuscany)	Messinian	5.333	7.246
Trachurus trachurus, Caranx prorusselli, Seriola dallonii (59256)	C056	Algeria (Oran)	Messinian	5.333	7.246
Seriola sp. (52582)	C047	USA (North Carolina)	Zanclean	3.6	5.333
Trachurus sp. (185663)	C057	Cyprus	Early/Lower Pliocene	3.6	5.333
Trachurus sp. (210256 210257)	C058	Italy	Zanclean	3.6	5.333
Caranx sp. (22712)	C041	USA (Florida)	Piacenzian	2.588	3.6
Trachurus sp. (223917)	C060	Greece (Zakynthos)	Pliocene	2.588	5.333
Trachurus sp. (145678 145680)	C061	Italy	Zanclean - Piacenzian	2.588	5.333
Trachurus sp. (145683)	C062	Italy	Piacenzian	2.588	3.6
Caranx sp., Trachurus sp. (207303)	C063	Greece (Crete)	Piacenzian	2.588	3.6
Trachurus sp. (57058)	C064	Italy	Piacenzian - Gelasian	1.806	3.6
Caranx hippos (20400)	C039	USA (Florida)	Irvingtonian	0.3	1.8
Trachurus sp. (207568)	C072	Greece (Rhodes)	Ionian	0.126	0.781
Caranx hippos, Caranx sp. (34269)	C040	USA (Florida)	Late/Upper Pleistocene	0.0117	0.126
Carangidae indet. (161455)	C042	Japan (Kagoshima)	Pleistocene	0.0117	2.588
Caranx spp., Caranx crysos, Caranx latus, Caranx ruber, Seriola spp., Carangidae indet., Selene vomer (209855)	C038	Turks and Caicos Islands	Holocene	0	0.0117
Carangidae indet. (194995 194999)	C045	Marshall Islands	Holocene	0	0.0117
